method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,CloudifySource@cloudify,7509583,rtptorrent,48,0,0.9270833333333333,0.0
RETECS,CloudifySource@cloudify,6702588,rtptorrent,37,0,0.8783783783783784,0.0
RETECS,CloudifySource@cloudify,8687557,rtptorrent,37,0,0.7972972972972973,0.0
RETECS,CloudifySource@cloudify,7435716,rtptorrent,37,0,0.9594594594594594,0.0
RETECS,CloudifySource@cloudify,7624913,rtptorrent,48,0,0.13541666666666666,0.0
RETECS,CloudifySource@cloudify,20477651,rtptorrent,55,0,0.9181818181818181,0.0
RETECS,CloudifySource@cloudify,7348854,rtptorrent,47,0,0.9893617021276595,0.0
RETECS,CloudifySource@cloudify,9942855,rtptorrent,58,0,0.008620689655172414,0.0
RETECS,CloudifySource@cloudify,4428316,rtptorrent,26,0,0.9807692307692308,0.0
RETECS,CloudifySource@cloudify,6799964,rtptorrent,41,0,0.9390243902439025,0.0
RETECS,CloudifySource@cloudify,3096760,rtptorrent,21,0,0.9285714285714286,0.0
RETECS,CloudifySource@cloudify,9869627,rtptorrent,57,0,0.6754385964912282,0.0
RETECS,CloudifySource@cloudify,7095405,rtptorrent,28,0,0.9821428571428572,0.0
RETECS,CloudifySource@cloudify,6567473,rtptorrent,38,0,0.986842105263158,0.0
RETECS,CloudifySource@cloudify,1775440,rtptorrent,14,0,0.5357142857142857,0.0
RETECS,CloudifySource@cloudify,9833480,rtptorrent,57,0,0.9385964912280702,0.0
RETECS,CloudifySource@cloudify,10115664,rtptorrent,57,0,0.9736842105263158,0.0
RETECS,CloudifySource@cloudify,6534536,rtptorrent,38,0,0.9078947368421053,0.0
RETECS,CloudifySource@cloudify,7372145,rtptorrent,37,0,0.9594594594594594,0.0
RETECS,CloudifySource@cloudify,1826391,rtptorrent,15,0,0.7666666666666667,0.0
RETECS,CloudifySource@cloudify,7764163,rtptorrent,48,0,0.13541666666666666,0.0
RETECS,CloudifySource@cloudify,7419774,rtptorrent,47,0,0.5638297872340425,0.0
RETECS,CloudifySource@cloudify,6699776,rtptorrent,37,0,0.9324324324324323,0.0
RETECS,CloudifySource@cloudify,6996751,rtptorrent,35,0,0.9571428571428571,0.0
RETECS,CloudifySource@cloudify,6533600,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,7101514,rtptorrent,42,0,0.9166666666666666,0.0
RETECS,CloudifySource@cloudify,13432816,rtptorrent,69,0,0.6304347826086957,0.0
RETECS,CloudifySource@cloudify,6509943,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,16253334,rtptorrent,55,0,0.9545454545454545,0.0
RETECS,CloudifySource@cloudify,1810455,rtptorrent,15,0,0.7999999999999999,0.0
RETECS,CloudifySource@cloudify,1734940,rtptorrent,14,0,0.6071428571428571,0.0
RETECS,CloudifySource@cloudify,7836855,rtptorrent,28,0,0.8392857142857143,0.0
RETECS,CloudifySource@cloudify,2395703,rtptorrent,17,0,0.7794117647058824,0.0
RETECS,CloudifySource@cloudify,7105392,rtptorrent,41,0,0.9146341463414634,0.0
RETECS,CloudifySource@cloudify,6560200,rtptorrent,38,0,0.8815789473684211,0.0
RETECS,CloudifySource@cloudify,6754920,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,1905732,rtptorrent,15,0,0.5666666666666667,0.0
RETECS,CloudifySource@cloudify,7774953,rtptorrent,49,0,0.5204081632653061,0.0
RETECS,CloudifySource@cloudify,7150065,rtptorrent,48,0,0.90625,0.0
RETECS,CloudifySource@cloudify,1719864,rtptorrent,14,0,0.6071428571428571,0.0
RETECS,CloudifySource@cloudify,6544934,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,10365756,rtptorrent,57,0,0.9210526315789473,0.0
RETECS,CloudifySource@cloudify,6596224,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,11501647,rtptorrent,64,0,0.8828125,0.0
RETECS,CloudifySource@cloudify,6721768,rtptorrent,39,0,0.7179487179487178,0.0
RETECS,CloudifySource@cloudify,9652243,rtptorrent,57,0,0.9736842105263158,0.0
RETECS,CloudifySource@cloudify,23874002,rtptorrent,63,0,0.9444444444444444,0.0
RETECS,CloudifySource@cloudify,7093723,rtptorrent,42,0,0.9166666666666666,0.0
RETECS,CloudifySource@cloudify,12320807,rtptorrent,43,0,0.8255813953488372,0.0
RETECS,CloudifySource@cloudify,2263477,rtptorrent,21,0,0.9285714285714286,0.0
RETECS,CloudifySource@cloudify,1810152,rtptorrent,15,0,0.66,0.0
RETECS,CloudifySource@cloudify,2394599,rtptorrent,17,0,0.7941176470588235,0.0
RETECS,CloudifySource@cloudify,8681864,rtptorrent,36,0,0.986111111111111,0.0
RETECS,CloudifySource@cloudify,9872421,rtptorrent,57,0,0.7105263157894737,0.0
RETECS,CloudifySource@cloudify,1810298,rtptorrent,15,0,0.7999999999999999,0.0
RETECS,CloudifySource@cloudify,1855316,rtptorrent,15,0,0.7000000000000001,0.0
RETECS,CloudifySource@cloudify,7838384,rtptorrent,49,0,0.030612244897959204,0.0
RETECS,CloudifySource@cloudify,7094234,rtptorrent,41,0,0.9390243902439025,0.0
RETECS,CloudifySource@cloudify,6945767,rtptorrent,41,0,0.9390243902439025,0.0
RETECS,CloudifySource@cloudify,6949005,rtptorrent,41,0,0.9390243902439025,0.0
RETECS,CloudifySource@cloudify,6889303,rtptorrent,41,0,0.8902439024390244,0.0
RETECS,CloudifySource@cloudify,7700413,rtptorrent,28,0,0.8392857142857143,0.0
RETECS,CloudifySource@cloudify,12320732,rtptorrent,43,0,0.8488372093023255,0.0
RETECS,CloudifySource@cloudify,7763690,rtptorrent,48,0,0.052083333333333294,0.0
RETECS,CloudifySource@cloudify,21499234,rtptorrent,56,0,0.9732142857142857,0.0
RETECS,CloudifySource@cloudify,8691094,rtptorrent,37,0,0.9054054054054054,0.0
RETECS,CloudifySource@cloudify,6837957,rtptorrent,41,0,0.8902439024390244,0.0
RETECS,CloudifySource@cloudify,5255927,rtptorrent,27,0,0.611111111111111,0.0
RETECS,CloudifySource@cloudify,6758791,rtptorrent,41,0,0.9146341463414634,0.0
RETECS,CloudifySource@cloudify,1774600,rtptorrent,14,0,0.5714285714285714,0.0
RETECS,CloudifySource@cloudify,1729741,rtptorrent,14,0,0.6071428571428571,0.0
RETECS,CloudifySource@cloudify,6703412,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,9662218,rtptorrent,57,0,0.6929824561403509,0.0
RETECS,CloudifySource@cloudify,20541296,rtptorrent,55,0,0.9727272727272727,0.0
RETECS,CloudifySource@cloudify,6975698,rtptorrent,41,0,0.9390243902439025,0.0
RETECS,CloudifySource@cloudify,6988952,rtptorrent,35,0,0.9571428571428571,0.0
