variant,grand_mean_apfd,grand_std_apfd,n_projects
full_v14,0.8415535915140777,0.11505461195360787,20
wo_deeporder_feats,0.8416111886654181,0.11505212626934194,20
wo_dnn_ensemble,0.7310391627310436,0.1462591860764612,20
wo_gatv2,0.841486148527997,0.11521728931210795,20
wo_graph,0.8417462241677377,0.11513132222745494,20
wo_semantic,0.8415858463878653,0.11521942136165275,20
