variant,grand_mean_apfd,n_projects
alpha_0.0,0.8391302887283782,20
alpha_0.3,0.8393125407091608,20
alpha_0.5,0.8393869402606515,20
alpha_0.7,0.8394150460972852,20
alpha_1.0,0.7296023521941761,20
alpha_optimized,0.8393026644866144,20
dnn_epochs_10,0.8429464143760461,20
dnn_epochs_20,0.843627363328418,20
dnn_epochs_5,0.8370882614049785,20
pos_weight_10,0.8430931542411034,20
pos_weight_100,0.843878395075154,20
pos_weight_25,0.8301528698932836,20
